id,Distritos,municipio_id,nombre
1,Ahuachapán,2,Ahuachapán Centro
2,Apaneca,2,Ahuachapán Centro
3,Concepción de Ataco,2,Ahuachapán Centro
4,Tacuba,2,Ahuachapán Centro
5,Atiquizaya,1,Ahuachapán Norte
6,El Refugio,1,Ahuachapán Norte
7,San Lorenzo,1,Ahuachapán Norte
8,Turín,1,Ahuachapán Norte
9,Guaymango,3,Ahuachapán Sur
10,Jujutla,3,Ahuachapán Sur
11,San Francisco Menéndez,3,Ahuachapán Sur
12,San Pedro Puxtla,3,Ahuachapán Sur
13,Santa Ana,5,Santa Ana Centro
14,Coatepeque,6,Santa Ana Este
15,El Congo,6,Santa Ana Este
16,Masahuat,4,Santa Ana Norte
17,Metapán,4,Santa Ana Norte
18,Santa Rosa Guachipilín,4,Santa Ana Norte
19,Texistepeque,4,Santa Ana Norte
20,Candelaria de la Frontera,7,Santa Ana Oeste
21,Chalchuapa,7,Santa Ana Oeste
22,El Porvenir,7,Santa Ana Oeste
23,San Antonio Pajonal,7,Santa Ana Oeste
24,San Sebastián Salitrillo,7,Santa Ana Oeste
25,Santiago de la Frontera,7,Santa Ana Oeste
26,Nahulingo,9,Sonsonate Centro
27,San Antonio del Monte,9,Sonsonate Centro
28,Santo Domingo de Guzmán,9,Sonsonate Centro
29,Sonsonate,9,Sonsonate Centro
30,Sonzacate,9,Sonsonate Centro
31,Armenia,10,Sonsonate Este
32,Caluco,10,Sonsonate Este
33,Cuisnahuat,10,Sonsonate Este
34,Santa Isabel Ishuatán,10,Sonsonate Este
35,Izalco,10,Sonsonate Este
36,San Julián,10,Sonsonate Este
37,Juayúa,8,Sonsonate Norte
38,Nahuizalco,8,Sonsonate Norte
39,Salcoatitán,8,Sonsonate Norte
40,Santa Catarina Masahuat,8,Sonsonate Norte
41,Acajutla,11,Sonsonate Oeste
42,Agua Caliente,13,Chalatenango Centro
43,Dulce Nombre de María,13,Chalatenango Centro
44,El Paraíso,13,Chalatenango Centro
45,La Reina,13,Chalatenango Centro
46,Nueva Concepción,13,Chalatenango Centro
47,San Fernando,13,Chalatenango Centro
48,San Francisco Morazán,13,Chalatenango Centro
49,San Rafael,13,Chalatenango Centro
50,Santa Rita,13,Chalatenango Centro
51,Tejutla,13,Chalatenango Centro
52,Citalá,12,Chalatenango Norte
53,San Ignacio,12,Chalatenango Norte
54,La Palma,12,Chalatenango Norte
55,Arcatao,14,Chalatenango Sur
56,Azacualpa,14,Chalatenango Sur
57,Comalapa,14,Chalatenango Sur
58,Concepción Quezaltepeque,14,Chalatenango Sur
59,Chalatenango,14,Chalatenango Sur
60,El Carrizal,14,Chalatenango Sur
61,La Laguna,14,Chalatenango Sur
62,Las Vueltas,14,Chalatenango Sur
63,Nombre de Jesús,14,Chalatenango Sur
64,Nueva Trinidad,14,Chalatenango Sur
65,Ojos de Agua,14,Chalatenango Sur
66,Potonico,14,Chalatenango Sur
67,San Antonio de la Cruz,14,Chalatenango Sur
68,San Antonio Los Ranchos,14,Chalatenango Sur
69,San Isidro Labrador,14,Chalatenango Sur
70,San Francisco Lempa,14,Chalatenango Sur
71,San José Cancasque / Cancasque,14,Chalatenango Sur
72,San José Las Flores / Las Flores,14,Chalatenango Sur
73,San Luis del Carmen,14,Chalatenango Sur
