"id","nombre","entidad_id","created_at","updated_at"
"1","ACTIVO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"2","INACTIVO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"3","APROBADO","2","19/1/2026 21:13:40","19/1/2026 21:13:40"
"4","PENDIENTE","2","19/1/2026 21:13:40","19/1/2026 21:13:40"
"5","ANULADO","2","19/1/2026 21:13:40","19/1/2026 21:13:40"
"6","FUERA DE LIMITE","2","19/1/2026 21:13:40","19/1/2026 21:13:40"
"7","INCOMPLETO (SIN COMPENSADOS)","2","19/1/2026 21:13:40","19/1/2026 21:13:40"
"8","ABANDONO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"9","DETENIDO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"10","COMISION DE SERVICIO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"11","CON PERMISO SIN GOCE DE SUELDO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"12","SUSPENDIDO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"13","TRASLADADO","1","19/1/2026 21:13:40","19/1/2026 21:13:40"
"14","RENUNCIA","1","27/1/2026 14:49:15","27/1/2026 14:49:15"
