"id","departamento_id","nombre","created_at","updated_at"
"1","1","Ahuachapán Norte",,
"2","1","Ahuachapán Centro",,
"3","1","Ahuachapán Sur",,
"4","2","Cabañas Este",,
"5","2","Cabañas Oeste",,
"6","3","Chalatenango Norte",,
"7","3","Chalatenango Centro",,
"8","3","Chalatenango Sur",,
"9","4","Cuscatlán Norte",,
"10","4","Cuscatlán Sur",,
"11","5","La Libertad Norte",,
"12","5","La Libertad Centro",,
"13","5","La Libertad Oeste",,
"14","5"," La Libertad Este",,
"15","5"," La Libertad Costa",,
"16","5","La Libertad Sur",,
"17","6","La Paz Oeste",,
"18","6","La Paz Centro",,
"19","6","La Paz Este",,
"20","7","La Unión Norte",,
"21","7","La Unión Sur",,
"22","8","Morazán Norte",,
"23","8","Morazán Sur",,
"24","9","San Miguel Norte",,
"25","9","San Miguel Centro",,
"26","9"," San Miguel Oeste",,
"27","10","San Salvador Norte",,
"28","10","San Salvador Oeste",,
"29","10","San Salvador Este",,
"30","10","San Salvador Centro",,
"31","10","San Salvador Sur",,
"32","11","San Vicente Norte",,
"33","11","San Vicente Sur",,
"34","12","Santa Ana Norte",,
"35","12"," Santa Ana Centro",,
"36","12"," Santa Ana Este",,
"37","12","Santa Ana Oeste",,
"38","13","Sonsonate Norte",,
"39","13","Sonsonate Centro",,
"40","13","Sonsonate Este",,
"41","13","Sonsonate Oeste",,
"42","14","Usulután Norte",,
"43","14"," Usulután Este",,
"44","14"," Usulután Oeste",,
