"id","fecha_creacion","desde","hasta","motivo","adjunto","comentarios","empleado_id","tipo_permiso_id","id_estado_vb","id_jefe_vb","fecha_vb","id_estado_aprobacion","id_jefe_aprobacion","fecha_aprobacion","created_at","updated_at"
"1","20/1/2026","18/1/2026 22:00:00","19/1/2026 01:30:00","CITA","permisos/adjuntos/doc03106620260115133009.pdf",,"62","7",,,,,,,"20/1/2026 20:43:10","20/1/2026 20:44:19"
"2","20/1/2026","27/12/2025 18:00:00","28/12/2025 07:30:00","ENFERMEDA DE MADRE","permisos/adjuntos/doc03106920260115133116.pdf",,"38","8",,,,,,,"20/1/2026 20:48:44","21/1/2026 15:47:04"
"3","21/1/2026","19/1/2026 06:00:00","19/1/2026 07:30:00","ANEXA COMPROBANTE","permisos/adjuntos/doc03106720260115133032.pdf",,"54","7",,,,,,,"21/1/2026 14:01:00","21/1/2026 14:01:00"
"4","21/1/2026","19/12/2025 05:30:00","19/12/2025 07:30:00","CITA","permisos/adjuntos/doc03106820260115133053.pdf",,"8","1",,,,,,,"21/1/2026 14:04:51","21/1/2026 14:04:51"
"5","21/1/2026","27/12/2025 18:00:00","28/12/2025 07:30:00","ENFERMEDA DE MADRE","permisos/adjuntos/doc03106920260115133116.pdf",,"38","8",,,,,,,"21/1/2026 14:07:55","21/1/2026 14:07:55"
"6","21/1/2026","11/1/2026 08:00:00","11/1/2026 17:00:00","ANEXA COPIA DUI ","permisos/adjuntos/doc03107020260115133137.pdf",,"162","3",,,,,,,"21/1/2026 14:10:27","21/1/2026 14:13:23"
"7","21/1/2026","5/1/2026 08:00:00","5/1/2026 11:30:00","DILIGENCIAS PERSONALES","permisos/adjuntos/doc03107120260115133156.pdf",,"156","1",,,,,,,"21/1/2026 14:41:12","21/1/2026 14:41:12"
"8","21/1/2026","29/12/2025 08:00:00","29/1/2026 12:00:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03107220260115133217.pdf",,"155","1",,,,,,,"21/1/2026 14:43:08","21/1/2026 14:43:08"
"9","21/1/2026","1/1/2026 18:00:00","2/1/2026 07:30:00","VACACIONES DE DICIEMBRE","permisos/adjuntos/doc03107320260115133238.pdf","POR DUPLICADO ","94","2","5",,,"5",,,"21/1/2026 14:50:57","28/1/2026 16:24:55"
"10","21/1/2026","1/1/2026 18:00:00","2/1/2026 07:30:00","VACACIONES DE DICIEMBRE","permisos/adjuntos/doc03107320260115133238.pdf","POR DUPLICADO ","94","2","5",,,"5",,,"21/1/2026 14:51:43","28/1/2026 16:25:35"
"11","21/1/2026","1/1/2026 18:00:00","2/1/2026 07:30:00","VACACIONES DE DICIEMBRE","permisos/adjuntos/doc03107320260115133238.pdf","POR DUPLICADO ","94","2","5",,,"5",,,"21/1/2026 14:52:00","28/1/2026 16:26:14"
"12","21/1/2026","1/1/2026 18:00:00","2/1/2026 07:30:00","VACACIONES DE DICIEMBRE","permisos/adjuntos/doc03107320260115133238.pdf",,"94","2",,,,,,,"21/1/2026 14:52:20","21/1/2026 14:52:20"
"13","21/1/2026","1/1/2026 18:00:00","2/1/2026 07:30:00","VACACIONES DE DICIEMBRE","permisos/adjuntos/doc03107320260115133238.pdf",,"94","2",,,,,,,"21/1/2026 14:57:29","21/1/2026 14:57:29"
"14","21/1/2026","14/1/2026 08:30:00","14/1/2026 10:30:00","CITA MEDICA","permisos/adjuntos/doc03107420260115133258.pdf",,"6","7",,,,,,,"21/1/2026 15:10:43","21/1/2026 15:10:43"
"15","21/1/2026","16/1/2026 07:30:00","16/1/2026 00:00:00","ANEXA COPIA DUI ","permisos/adjuntos/doc03107520260115133331.pdf",,"124","3",,,,,,,"21/1/2026 15:12:29","21/1/2026 15:12:29"
"16","21/1/2026","22/1/2026 00:00:00","22/1/2026 07:30:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03107620260115133353.pdf",,"117","1",,,,,,,"21/1/2026 15:14:54","21/1/2026 15:14:54"
"17","21/1/2026","14/1/2026 07:30:00","14/1/2026 15:30:00","HABER LABORADO 2612/25","permisos/adjuntos/doc03107720260115133412.pdf",,"5","2",,,,,,,"21/1/2026 15:16:33","21/1/2026 15:16:33"
"18","21/1/2026","14/1/2026 07:30:00","14/1/2026 15:30:00","HABER LABORADO 2612/25","permisos/adjuntos/doc03107720260115133412.pdf",,"5","2",,,,,,,"21/1/2026 15:17:15","21/1/2026 15:17:15"
"19","21/1/2026","15/1/2026 07:00:00","15/1/2026 07:47:00","CITA","permisos/adjuntos/doc03107920260115133453.pdf",,"170","7",,,,,,,"21/1/2026 15:24:04","21/1/2026 15:24:04"
"20","21/1/2026","23/1/2026 07:30:00","23/1/2026 15:30:00","ANEXA COPIA DUI ","permisos/adjuntos/doc03108020260115133515.pdf",,"188","3",,,,,,,"21/1/2026 15:25:57","21/1/2026 15:25:57"
"21","21/1/2026","13/1/2026 07:00:00","13/1/2026 10:10:00","CITA","permisos/adjuntos/doc03108120260115133537.pdf",,"170","7",,,,,,,"21/1/2026 15:27:15","21/1/2026 15:27:15"
"22","21/1/2026","12/1/2026 10:40:00","12/1/2026 15:22:00","CITA","permisos/adjuntos/doc03108220260115133558.pdf",,"163","7",,,,,,,"21/1/2026 15:33:12","21/1/2026 15:33:12"
"23","21/1/2026","15/1/2026 00:00:00","15/1/2026 07:00:00","ANEXA COPIA DUI ","permisos/adjuntos/doc03108320260115133619.pdf",,"125","3",,,,,,,"21/1/2026 15:34:35","21/1/2026 15:34:35"
"24","21/1/2026","14/1/2026 07:00:00","15/1/2026 00:00:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03108520260115133701.pdf",,"179","1",,,,,,,"21/1/2026 15:36:50","21/1/2026 15:36:50"
"25","21/1/2026","14/1/2026 12:00:00","14/1/2026 15:30:00","CITA","permisos/adjuntos/doc03108620260115133720.pdf",,"175","7",,,,,,,"21/1/2026 15:38:00","21/1/2026 15:38:00"
"26","21/1/2026","9/1/2026 13:00:00","9/1/2026 15:30:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03108920260115133826.pdf",,"183","1",,,,,,,"21/1/2026 15:40:30","21/1/2026 15:40:30"
"27","21/1/2026","9/1/2026 13:00:00","9/1/2026 15:30:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03109020260115133845.pdf",,"187","1",,,,,,,"21/1/2026 15:41:46","21/1/2026 15:41:46"
"28","21/1/2026","8/1/2026 08:30:00","8/1/2026 11:05:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03109220260115133931.pdf",,"173","1",,,,,,,"21/1/2026 15:43:39","21/1/2026 15:43:39"
"29","21/1/2026","4/1/2026 18:00:00","5/1/2026 07:30:00","ENFERMEDA DE MADRE","permisos/adjuntos/doc03109320260115134001.pdf",,"38","8",,,,,,,"21/1/2026 15:45:09","21/1/2026 15:45:09"
"30","21/1/2026","7/1/2026 13:00:00","7/1/2026 15:30:00","ASUNTOS PERSONALES","permisos/adjuntos/doc03109520260115134042.pdf",,"158","1",,,,,,,"21/1/2026 15:50:13","21/1/2026 15:50:13"
"31","21/1/2026","15/1/2026 10:00:00","15/1/2026 15:00:00","AUDIENCIA JUDICIAL","permisos/adjuntos/doc03109820260115134144.pdf",,"164","10",,,,,,,"21/1/2026 15:52:05","21/1/2026 15:52:05"
"32","21/1/2026","16/1/2026 07:30:00","16/1/2026 18:00:00","ANEXA COPIA DUI ","permisos/adjuntos/doc03110020260115134229.pdf",,"104","3",,,,,,,"21/1/2026 15:53:22","21/1/2026 15:53:22"
