"id","name","guard_name","created_at","updated_at"
"1","ViewAny:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"2","View:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"3","Create:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"4","Update:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"5","Delete:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"6","Restore:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"7","ForceDelete:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"8","ForceDeleteAny:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"9","RestoreAny:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"10","Replicate:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"11","Reorder:Categoria","web","20/1/2026 20:21:30","20/1/2026 20:21:30"
"12","ViewAny:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"13","View:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"14","Create:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"15","Update:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"16","Delete:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"17","Restore:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"18","ForceDelete:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"19","ForceDeleteAny:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"20","RestoreAny:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"21","Replicate:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"22","Reorder:Compensado","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"23","ViewAny:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"24","View:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"25","Create:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"26","Update:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"27","Delete:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"28","Restore:Division","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"29","ForceDelete:Division","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"30","ForceDeleteAny:Division","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"31","RestoreAny:Division","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"32","Replicate:Division","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"33","Reorder:Division","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"34","ViewAny:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"35","View:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"36","Create:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"37","Update:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"38","Delete:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"39","Restore:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"40","ForceDelete:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"41","ForceDeleteAny:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"42","RestoreAny:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"43","Replicate:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"44","Reorder:Empleado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"45","ViewAny:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"46","View:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"47","Create:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"48","Update:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"49","Delete:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"50","Restore:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"51","ForceDelete:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"52","ForceDeleteAny:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"53","RestoreAny:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"54","Replicate:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"55","Reorder:Entidad","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"56","ViewAny:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"57","View:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"58","Create:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"59","Update:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"60","Delete:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"61","Restore:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"62","ForceDelete:Estado","web","20/1/2026 20:21:32","20/1/2026 20:21:32"
"63","ForceDeleteAny:Estado","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"64","RestoreAny:Estado","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"65","Replicate:Estado","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"66","Reorder:Estado","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"67","ViewAny:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"68","View:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"69","Create:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"70","Update:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"71","Delete:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"72","Restore:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"73","ForceDelete:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"74","ForceDeleteAny:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"75","RestoreAny:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"76","Replicate:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"77","Reorder:Permiso","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"78","ViewAny:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"79","View:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"80","Create:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"81","Update:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"82","Delete:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"83","Restore:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"84","ForceDelete:Grupo","web","20/1/2026 20:21:33","20/1/2026 20:21:33"
"85","ForceDeleteAny:Grupo","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"86","RestoreAny:Grupo","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"87","Replicate:Grupo","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"88","Reorder:Grupo","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"89","ViewAny:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"90","View:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"91","Create:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"92","Update:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"93","Delete:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"94","Restore:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"95","ForceDelete:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"96","ForceDeleteAny:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"97","RestoreAny:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"98","Replicate:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"99","Reorder:Horario","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"100","ViewAny:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"101","View:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"102","Create:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"103","Update:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"104","Delete:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"105","Restore:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"106","ForceDelete:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"107","ForceDeleteAny:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"108","RestoreAny:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"109","Replicate:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"110","Reorder:Nivel","web","20/1/2026 20:21:34","20/1/2026 20:21:34"
"111","ViewAny:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"112","View:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"113","Create:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"114","Update:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"115","Delete:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"116","Restore:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"117","ForceDelete:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"118","ForceDeleteAny:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"119","RestoreAny:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"120","Replicate:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"121","Reorder:TipoPermiso","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"122","ViewAny:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"123","View:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"124","Create:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"125","Update:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"126","Delete:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"127","Restore:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"128","ForceDelete:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"129","ForceDeleteAny:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"130","RestoreAny:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"131","Replicate:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"132","Reorder:Unidad","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"133","ViewAny:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"134","View:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"135","Create:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"136","Update:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"137","Delete:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"138","Restore:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"139","ForceDelete:User","web","20/1/2026 20:21:35","20/1/2026 20:21:35"
"140","ForceDeleteAny:User","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"141","RestoreAny:User","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"142","Replicate:User","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"143","Reorder:User","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"144","ViewAny:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"145","View:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"146","Create:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"147","Update:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"148","Delete:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"149","Restore:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"150","ForceDelete:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"151","ForceDeleteAny:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"152","RestoreAny:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"153","Replicate:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"154","Reorder:Role","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"155","View:Dashboard","web","20/1/2026 20:21:36","20/1/2026 20:21:36"
"156","View:InfoEmpleado","web","20/1/2026 20:21:37","20/1/2026 20:21:37"
"157","View:PermisosStats","web","20/1/2026 20:21:37","20/1/2026 20:21:37"
"158","View:PermisosPorMesChart","web","20/1/2026 20:21:38","20/1/2026 20:21:38"
