"id","nombre","created_at","updated_at"
"1","PERMISO PERSONAL",,
"2","POR TIEMPO COMPENSATORIO",,
"3","CUMPLEAÑOS",,"21/1/2026 16:11:31"
"4","LICENCIA DE 8 DIAS POR MATERNIDAD",,
"5","DELEGACIONES DEPORTIVAS, CULTURAL O CIENTIFICAS",,
"6","TRATAMIENTO DE ENFERMEDAD EN EL EXTRANJERO",,
"7","CONSULTA MEDICA",,
"8","ENFERMEDAD O DUELO",,
"9","ESTUDIOS/HORAS SOCIALES",,
"10","DILIGENCIAS JUDICIALES/EXTRAJUDICIALES",,
"11","FALTA DE MARCACION",,
"12","LICENCIA POR ENFERMEDAD SIN INCAPACIDAD",,
"13","MISION OFICIAL",,"21/1/2026 16:11:57"
"14","PATERNIDAD",,
"15","POR LACTANCIA",,
"16","POR IMPARTIR CLASES",,
"17","MATRIMONIO","21/1/2026 16:03:01","21/1/2026 16:03:01"
